date,self_built,rqalpha_align,rqalpha_full
2011-06-01,1000000.0,1000000.0,1000000.0
2011-06-02,986912.2542259602,987000.8872,987000.8872
2011-06-03,996548.600814545,996496.8872,996496.8872
2011-06-07,1001962.5136356939,1001873.8872,1001873.8872
2011-06-08,1004982.998924569,1004880.8872,1004880.8872
2011-06-09,995645.69519799,995621.3272,995621.3272
2011-06-10,997772.9601820363,997709.6072,997709.6072
2011-06-13,989430.7446160759,989454.2472,989454.2472
2011-06-14,996944.0576598936,996923.9472,996923.9472
2011-06-15,989781.9594888054,989872.3072,989872.3072
2011-06-16,972447.5564841316,972693.3272,972693.3272
2011-06-17,968993.2237867411,969291.6072,969291.6072
2011-06-20,960365.1668505956,960772.2672,960772.2672
2011-06-21,966235.9775193182,966560.8272,966560.8272
2011-06-22,964440.1820071946,964776.4172,964776.4172
2011-06-23,975105.7126248697,975341.3472,975341.3472
2011-06-24,994707.3220565487,994774.7972,994774.7972
2011-06-27,993887.7593062962,993931.3972,993931.3972
2011-06-28,990343.2219270056,990434.2572,990434.2572
2011-06-29,984382.435160967,984532.1672,984532.1672
2011-06-30,992100.5367213135,992176.0772,992176.0772
2011-07-01,994694.1023047342,994757.2672,994757.2672
2011-07-04,1010275.5320199343,1010074.1901,1009413.0805
2011-07-05,1009143.4865549203,1008894.0101,1008232.9005
2011-07-06,1004736.7729003258,1004495.2901,1003834.1805
2011-07-07,1002230.3098583949,1001806.9601,1001145.8505
2011-07-08,1005836.8324919367,1005404.0501,1004742.9405
2011-07-11,1005354.0203369072,1004841.5701,1004180.4605
2011-07-12,993734.9045567213,993363.4501,992702.3405
2011-07-13,1004906.7669529603,1004319.2101,1003658.1005
2011-07-14,1008335.714244158,1007624.2001,1006963.0905
2011-07-15,1014052.8930388226,1013197.9901,1012536.8805
2011-07-18,1009805.479085698,1008932.9901,1008271.8805
2011-07-19,1002054.5232226751,1001232.6201,1000571.5105
2011-07-20,999123.5467712648,998450.9501,997789.8405
2011-07-21,994151.710467181,993516.8101,992855.7005
2011-07-22,994323.137171099,993692.0701,993030.9605
2011-07-25,969329.4175319978,968879.3801,968218.2705
2011-07-26,973109.7391930714,972560.1901,971899.0805
2011-07-27,974184.3252761343,973565.1901,972904.0805
2011-07-28,965810.0687648964,965342.4401,964681.3305
2011-07-29,969117.1054756319,968777.4101,968116.3005
2011-08-01,966440.4506446566,966106.8901,965445.7805
2011-08-02,955015.5326821412,954771.2922,953651.1639
2011-08-03,953386.7273425913,953146.1122,952023.9839
2011-08-04,952306.1735425303,952071.3522,950950.2239
2011-08-05,928854.6069717869,928721.2722,927609.1439
2011-08-08,893325.257945728,893354.1922,892257.0639
2011-08-09,889146.5286319739,889179.2122,888083.0839
2011-08-10,896264.2219534848,896272.6922,895171.5639
2011-08-11,905282.2156722714,905253.3722,904151.2439
2011-08-12,912524.9847925971,912472.0122,911366.8839
2011-08-15,921451.9333216592,921349.0322,920240.9039
2011-08-16,915654.384401984,915574.7122,914466.5839
2011-08-17,913726.7373573857,913651.7922,912547.6639
2011-08-18,900587.052922265,900568.6122,899467.4839
2011-08-19,890806.2079715496,890833.8122,889737.6839
2011-08-22,886800.596741603,886849.6722,885753.5439
2011-08-23,899862.8188727952,899853.3322,898752.2039
2011-08-24,894378.2834821593,894397.6122,893297.4839
2011-08-25,919228.2779532957,919141.0522,918031.9239
2011-08-26,915596.4448314245,915518.0922,914410.9639
2011-08-29,902412.2431656589,902396.8122,901294.6839
2011-08-30,901388.2509519225,901373.5922,900274.4639
2011-08-31,902662.7285768726,902637.7722,901538.6439
2011-09-01,899860.9511083083,899848.5122,898749.3839
2011-09-02,891901.231406299,891989.4981,890326.0207
2011-09-05,877789.9579270411,878126.5781,876463.1007
2011-09-06,870267.206768277,870784.7981,869121.3207
2011-09-07,880366.1940449206,880669.3381,879005.8607
2011-09-08,878742.4708595197,879101.3581,877437.8807
2011-09-09,880608.0952870586,880984.1381,879320.6607
2011-09-13,873678.7477666488,874280.1581,872616.6807
2011-09-14,874343.2512767066,874906.9781,873243.5007
2011-09-15,875509.6958486249,876080.1381,874416.6607
2011-09-16,874905.6101464621,875484.7781,873821.3007
2011-09-19,862960.5992027812,863693.3381,862029.8607
2011-09-20,864896.0233223824,865647.8981,863984.4207
2011-09-21,880127.0736966378,880656.2781,878992.8007
2011-09-22,860009.4602617162,860938.2581,859274.7807
2011-09-23,853666.0895287999,854772.9781,853109.5007
2011-09-26,843202.0040319974,844479.6181,842816.1407
2011-09-27,848086.3116400765,849249.4781,847586.0007
2011-09-28,843088.2439708147,844283.8781,842620.4007
2011-09-29,836074.7647008392,837309.0981,835645.6207
2011-09-30,833004.9476137465,834233.6581,832570.1807
2011-10-10,830606.4723506069,831858.2581,830194.7807
2011-10-11,836757.059095309,837860.6331,835692.0558
2011-10-12,854870.6533204387,855974.2731,853764.6958
2011-10-13,860183.3431512638,861270.3931,859052.8158
2011-10-14,856998.575109962,858097.9731,855880.3958
2011-10-17,857557.6469315201,858668.4331,856450.8558
2011-10-18,846334.6483015929,847474.1731,845275.5958
2011-10-19,845921.8817615877,847059.3931,844863.8158
2011-10-20,831470.929707403,832648.6731,830484.0958
2011-10-21,828725.4013517189,829923.0131,827757.4358
2011-10-24,843587.022363897,844777.4131,842581.8358
2011-10-25,854849.9729370676,856010.8731,853792.2958
2011-10-26,860695.9050282876,861815.3931,859592.8158
2011-10-27,865859.5076379959,866982.1531,864738.5758
2011-10-28,873200.5980145435,874303.1731,872047.5958
2011-10-31,869899.2814254712,871016.2131,868756.6358
2011-11-01,870284.9856847489,871404.9731,869141.3958
2011-11-02,880469.3901959511,881398.1191,878701.3822
2011-11-03,881578.9456525819,882416.1191,879666.3822
2011-11-04,888291.5018423351,889114.8791,886354.1422
2011-11-07,885440.2628666514,886208.1991,883418.4622
2011-11-08,887714.888538762,888489.8591,885691.1222
2011-11-09,890951.0913676784,891687.4191,888887.6822
2011-11-10,879851.2964867338,880588.1791,877815.4422
2011-11-11,880407.3145281641,881214.4591,878433.7222
2011-11-14,892074.2373579163,892803.8391,889960.1022
2011-11-15,892021.1943420093,892779.9191,889899.1822
2011-11-16,872244.6022475585,873127.8191,870361.0822
