date,strategy,benchmark
2019-01-02,100000.0,98634.24008660445
2019-01-03,100000.0,98478.35367044552
2019-01-04,104626.0,100837.7084630394
2019-01-07,107423.0,101449.83135887835
2019-01-08,107623.0,101230.62646596076
2019-01-09,109547.0,102252.74339100321
2019-01-10,109372.0,102060.4429549783
2019-01-11,109518.0,102794.23046211629
2019-01-14,108897.0,101897.62448924716
2019-01-15,109143.0,103897.38626854983
2019-01-16,108776.0,103919.35159860305
2019-01-17,107699.0,103346.88786514665
2019-01-18,105942.0,105232.09644576847
2019-01-21,107371.0,105812.11999945797
2019-01-22,105285.0,104406.46841602772
2019-01-23,105493.0,104331.27211978161
2019-01-24,105350.0,104920.13096425314
2019-01-25,102787.0,105773.36429538098
2019-01-28,101686.0,105750.38257473402
2019-01-29,100052.0,106088.91703781538
2019-01-30,96260.0,105242.35999784239
2019-01-31,91844.0,106343.45645078538
2019-02-01,96022.0,107863.52504984308
2019-02-11,98253.0,109825.73684332207
2019-02-12,99716.0,110618.34878645626
2019-02-13,102475.0,112833.55879932521
2019-02-14,105008.0,113003.37906692426
2019-02-15,104312.0,110896.34157845331
2019-02-18,109403.0,114451.71905529093
2019-02-19,111474.0,114247.87627510527
2019-02-20,112552.0,114657.07313521563
2019-02-21,112337.0,114350.77087579925
2019-02-22,117071.0,116922.05971487395
2019-02-25,124262.0,123876.19419251694
2019-02-26,121921.0,122388.4906586398
2019-02-27,122100.0,122179.18727016628
2019-02-28,119059.0,121879.524764988
2019-03-01,121882.0,124548.1811657111
2019-03-04,127330.0,126022.6018695742
2019-03-05,132481.0,126750.32424852872
2019-03-06,136926.0,127815.77727839572
2019-03-07,139112.0,126512.3858819229
2019-03-08,129075.0,121487.872268002
2019-03-11,135796.0,123891.85524365885
2019-03-12,138416.0,124735.43618568422
2019-03-13,137544.0,123700.51805362146
2019-03-14,132742.0,122846.60712876444
2019-03-15,136186.0,124391.75998195221
2019-03-18,138699.0,127937.2658481867
2019-03-19,138981.0,127346.5203701948
2019-03-20,140523.0,127395.58280633822
2019-03-21,143081.0,127443.79825032022
2019-03-22,142032.0,127341.16272958147
2019-03-25,137773.0,124319.35709906986
2019-03-26,132939.0,122911.47676371677
2019-03-27,133062.0,124338.04407122768
2019-03-28,131796.0,123840.06250337145
2019-03-29,136240.0,128621.28011007319
2019-04-01,140229.0,131995.52416126526
2019-04-02,140518.0,131907.74255796155
2019-04-03,139874.0,133597.45538311024
2019-04-04,139094.0,134928.53844095522
2019-04-08,138884.0,134762.3851511845
2019-04-09,139270.0,135366.9548698662
2019-04-10,139760.0,135712.95615011977
2019-04-11,135540.0,132781.06122869806
2019-04-12,134336.0,132483.41821855566
2019-04-15,132320.0,132048.54919210906
2019-04-16,135384.0,135711.03297968264
2019-04-17,136491.0,135759.21852982364
2019-04-18,137320.0,135255.5239168001
2019-04-19,142321.0,136867.54929228663
2019-04-22,141314.0,133712.19126637495
2019-04-23,137316.0,133492.78375964618
2019-04-24,137593.0,133860.92308992316
2019-04-25,131862.0,130928.91191467537
2019-04-26,131653.0,129183.73604987311
2019-04-29,125270.0,129551.06824644333
2019-04-30,124763.0,129978.78600181712
2019-05-06,114416.0,122385.9430390797
2019-05-07,115358.0,123583.4105923047
2019-05-08,115011.0,121815.98706672873
2019-05-09,113970.0,119565.40267535271
2019-05-10,118053.0,123908.35332234844
2019-05-13,116996.0,121858.10748868626
2019-05-14,118770.0,121075.0482885179
2019-05-15,120973.0,123796.782864691
2019-05-16,121086.0,124357.16616484882
2019-05-17,117085.0,121194.97573550153
2019-05-20,117770.0,120166.34527466072
2019-05-21,120200.0,121793.36075063578
2019-05-22,119459.0,121215.52609041451
2019-05-23,116632.0,119042.74208098877
2019-05-24,116119.0,119373.21185007812
2019-05-27,119912.0,120810.87973721068
2019-05-28,119466.0,121975.5238530266
2019-05-29,119580.0,121698.1256163115
2019-05-30,118491.0,120943.28288050157
2019-05-31,118290.0,120564.82685354451
2019-06-03,116621.0,120638.67792694598
2019-06-04,115265.0,119524.43150550447
2019-06-05,116231.0,119479.20544562164
2019-06-06,111610.0,118402.12371160882
2019-06-10,112543.0,119932.21339047456
2019-06-11,116506.0,123537.15817721456
2019-06-12,115414.0,122601.14215730446
2019-06-13,116197.0,122411.73478077998
2019-06-14,112102.0,121398.22063886741
2019-06-17,110595.0,121396.39047149113
2019-06-18,109246.0,121821.33806426634
2019-06-19,111046.0,123426.29188558938
2019-06-20,112404.0,127165.68588295927
2019-06-21,114581.0,127345.71323648807
2019-06-24,114898.0,127589.10224676809
2019-06-25,113344.0,126261.9452467067
2019-06-26,113180.0,126030.14176057998
2019-06-27,114283.0,127374.90623298558
2019-06-28,112248.0,127068.3316074624
2019-07-01,115588.0,130729.47349372921
2019-07-02,114389.0,130774.56337055862
2019-07-03,112298.0,129325.21031313614
2019-07-04,111894.0,128646.54704878718
2019-07-05,111642.82,129314.19609349959
2019-07-08,108253.46,126311.100685911
2019-07-09,108030.42,125990.24012593161
2019-07-10,107757.28,125777.97060412413
2019-07-11,107377.26,125727.5496589845
2019-07-12,107042.34,126508.44653798778
2019-07-15,108463.62,127021.84668472005
2019-07-16,109116.66,126445.7956903446
2019-07-17,109157.72,126372.50595684619
2019-07-18,108265.48,125168.89688006631
2019-07-19,108950.24,126482.67140397702
2019-07-22,104924.16,125610.04029158335
2019-07-23,106065.28,125883.41282437825
2019-07-24,106390.28,126877.18374508464
2019-07-25,107575.94,127914.63288901802
2019-07-26,107156.1,128163.82462598835
2019-07-29,107110.83,128021.05164141118
2019-07-30,106767.68,128554.065469372
2019-07-31,106046.12,127392.89900372481
2019-08-01,106050.5,126333.67717893567
2019-08-02,105311.73,124472.56967722907
2019-08-05,105070.06,122089.38285028888
2019-08-06,102414.32,120782.0421452672
2019-08-07,100892.35,120287.20275225303
2019-08-08,101166.56,121876.97714542798
2019-08-09,100740.8,120689.06233516883
2019-08-12,102920.61,122867.16412675322
2019-08-13,102033.26,121759.32495189765
2019-08-14,101878.21,122312.36101024724
2019-08-15,102743.93,122697.62951141258
2019-08-16,101685.02,123246.94544732761
2019-08-19,105796.35,125922.64350837324
2019-08-20,106652.71,125810.96676150338
2019-08-21,107527.24,125612.52148038568
2019-08-22,106963.26,126002.74239454199
2019-08-23,106676.13,126911.4387653234
2019-08-26,105605.02,125086.14408512507
2019-08-27,107510.55,126781.30423241002
2019-08-28,108604.33,126304.28156862699
2019-08-29,109372.42,125892.4872658882
2019-08-30,107282.01,126204.69854120725
2019-09-02,108801.81,127823.40020784871
2019-09-03,109417.3,127999.13613442621
2019-09-04,110478.05,129075.00218557207
2019-09-05,112099.71,130381.09067080994
2019-09-06,112809.79,131151.17262244996
2019-09-09,117122.08,131962.9863761146
2019-09-10,117640.0,131508.48706075
2019-09-11,116485.42,130539.75721418114
2019-09-12,118038.96,131944.1034332214
2019-09-16,118939.44,131457.01650963776
2019-09-17,115007.88,129248.37317717334
2019-09-18,115052.91,129874.91154744617
2019-09-19,117004.64,130349.84496389766
2019-09-20,116549.83,130724.14242541896
2019-09-23,116530.59,129229.79913730372
2019-09-24,116585.83,129575.71073603434
2019-09-25,115540.64,128576.19023324385
2019-09-26,111937.17,127584.88057211245
2019-09-27,112957.1,127967.34237376244
2019-09-30,110731.65,126700.9994108922
2019-10-08,111402.14,127469.96532580181
2019-10-09,111364.4,127654.64615391172
2019-10-10,112814.32,128697.60572920128
2019-10-11,112292.07,129929.43791341539
2019-10-14,114935.72,131308.40093991568
2019-10-15,113509.09,130744.02847275439
2019-10-16,112104.51,130293.48178747646
2019-10-17,111645.6,130377.72263139156
2019-10-18,109399.94,128522.84633476283
2019-10-21,108228.57,128903.56432902161
2019-10-22,109001.12,129403.1601642914
2019-10-23,108532.25,128579.54830804863
2019-10-24,108204.23,128565.69749505573
2019-10-25,108952.12,129433.43266060253
2019-10-28,112498.14,130423.00847895638
2019-10-29,110949.26,129879.63809586082
2019-10-30,109732.19,129248.52928945413
2019-10-31,108783.84,129099.93697049722
2019-11-01,109748.95,131280.0383278902
2019-11-04,109288.15,132134.81617413595
2019-11-05,109498.8,132954.94373713422
2019-11-06,107592.59,132359.35213536376
2019-11-07,108507.05,132591.63724448424
2019-11-08,108735.29,131965.05569421887
2019-11-11,107243.78,129638.90299435332
2019-11-12,106884.64,129662.50252104743
2019-11-13,105543.04,129539.36314692613
2019-11-14,106190.86,129734.52010553473
2019-11-15,105156.89,128778.98672899482
2019-11-18,106766.93,129803.34569211167
2019-11-19,108087.39,131102.40248164072
2019-11-20,107033.64,129801.18669248448
2019-11-21,106855.78,129194.47126032718
2019-11-22,106255.48,127879.0359674725
2019-11-25,105715.97,128816.08498566574
2019-11-26,104332.57,129262.73882853893
2019-11-27,103591.57,128730.14019281413
2019-11-28,103190.21,128287.85417226364
2019-11-29,103747.59,127170.74458516268
2019-12-02,103774.14,127416.14976894071
2019-12-03,104451.67,127915.32376889874
2019-12-04,104435.06,127873.19670386541
2019-12-05,105854.18,128854.53842979498
2019-12-06,107432.67,129619.20627467756
2019-12-09,107755.69,129388.74136831968
2019-12-10,108602.24,129552.74230153895
2019-12-11,107761.5,129631.29335105192
2019-12-12,106965.31,129241.84303368563
2019-12-13,108670.69,131805.96731553593
2019-12-16,110399.99,132447.86447700282
2019-12-17,110989.54,134249.90507044736
2019-12-18,111619.58,133950.40199908768
2019-12-19,113008.33,133763.29644831957
2019-12-20,111106.33,133434.5704866214
2019-12-23,108612.69,131768.60333583396
2019-12-24,110872.03,132627.61614288687
2019-12-25,112198.17,132558.1627856491
2019-12-26,112499.6,133724.71346421272
2019-12-27,110205.29,133593.1772423106
2019-12-30,109766.27,135572.9998296717
2019-12-31,109511.95,136069.52656393297
2020-01-02,111170.77,137918.2513723932
2020-01-03,111146.67,137676.57959720126
2020-01-06,111734.41,137156.11121784337
2020-01-07,114352.48,138183.52931735505
2020-01-08,112246.48,136592.17387214542
2020-01-09,113696.08,138321.11738128908
2020-01-10,113348.71,138281.76380039222
2020-01-13,114024.27,139637.06419097848
2020-01-14,113399.4,139168.65759647687
2020-01-15,115046.46,138399.66178772628
2020-01-16,113275.43,137812.04851996273
2020-01-17,112861.66,138005.01658510315
2020-01-20,114181.8,139033.942662816
