date,strategy,benchmark
2019-01-02,100000.0,98634.24008660445
2019-01-03,97744.1877,98478.35367044552
2019-01-04,101076.1877,100837.7084630394
2019-01-07,103882.1877,101449.83135887835
2019-01-08,104092.1877,101230.62646596076
2019-01-09,107369.1877,102252.74339100321
2019-01-10,106096.1877,102060.4429549783
2019-01-11,105721.1877,102794.23046211629
2019-01-14,106094.1877,101897.62448924716
2019-01-15,104541.8717,103897.38626854983
2019-01-16,103854.8717,103919.35159860305
2019-01-17,104501.8717,103346.88786514665
2019-01-18,103541.8717,105232.09644576847
2019-01-21,103725.8717,105812.11999945797
2019-01-22,103062.8717,104406.46841602772
2019-01-23,102560.8717,104331.27211978161
2019-01-24,101585.8717,104920.13096425314
2019-01-25,98987.8717,105773.36429538098
2019-01-28,97371.8717,105750.38257473402
2019-01-29,94594.6916,106088.91703781538
2019-01-30,92171.6916,105242.35999784239
2019-01-31,90186.6916,106343.45645078538
2019-02-01,93563.6916,107863.52504984308
2019-02-11,96459.6916,109825.73684332207
2019-02-12,98774.6916,110618.34878645626
2019-02-13,101890.6916,112833.55879932521
2019-02-14,105210.6916,113003.37906692426
2019-02-15,105447.6916,110896.34157845331
2019-02-18,109377.6916,114451.71905529093
2019-02-19,110498.3465,114247.87627510527
2019-02-20,110466.3465,114657.07313521563
2019-02-21,111675.3465,114350.77087579925
2019-02-22,115558.3465,116922.05971487395
2019-02-25,122828.3465,123876.19419251694
2019-02-26,121930.3465,122388.4906586398
2019-02-27,123535.3465,122179.18727016628
2019-02-28,120834.3465,121879.524764988
2019-03-01,123325.3465,124548.1811657111
2019-03-04,126415.3465,126022.6018695742
2019-03-05,127173.944,126750.32424852872
2019-03-06,131131.944,127815.77727839572
2019-03-07,133537.944,126512.3858819229
2019-03-08,126543.944,121487.872268002
2019-03-11,131579.944,123891.85524365885
2019-03-12,132469.944,124735.43618568422
2019-03-13,130845.944,123700.51805362146
2019-03-14,123987.944,122846.60712876444
2019-03-15,124641.944,124391.75998195221
2019-03-18,127204.944,127937.2658481867
2019-03-19,129392.0853,127346.5203701948
2019-03-20,129318.0853,127395.58280633822
2019-03-21,132059.0853,127443.79825032022
2019-03-22,131395.0853,127341.16272958147
2019-03-25,126948.0853,124319.35709906986
2019-03-26,122486.0853,122911.47676371677
2019-03-27,123366.0853,124338.04407122768
2019-03-28,121896.0853,123840.06250337145
2019-03-29,126458.0853,128621.28011007319
2019-04-01,131704.0853,131995.52416126526
2019-04-02,131860.6704,131907.74255796155
2019-04-03,133774.6704,133597.45538311024
2019-04-04,133128.6704,134928.53844095522
2019-04-08,132880.6704,134762.3851511845
2019-04-09,132991.6704,135366.9548698662
2019-04-10,132663.6704,135712.95615011977
2019-04-11,130863.6704,132781.06122869806
2019-04-12,131412.6704,132483.41821855566
2019-04-15,129680.6704,132048.54919210906
2019-04-16,132981.7807,135711.03297968264
2019-04-17,133732.7807,135759.21852982364
2019-04-18,132945.7807,135255.5239168001
2019-04-19,135863.7807,136867.54929228663
2019-04-22,134221.7807,133712.19126637495
2019-04-23,130816.7807,133492.78375964618
2019-04-24,133270.7807,133860.92308992316
2019-04-25,128934.7807,130928.91191467537
2019-04-26,127448.7807,129183.73604987311
2019-04-29,120126.7807,129551.06824644333
2019-04-30,120176.5643,129978.78600181712
2019-05-06,111218.5643,122385.9430390797
2019-05-07,111626.5643,123583.4105923047
2019-05-08,110972.5643,121815.98706672873
2019-05-09,109743.5643,119565.40267535271
2019-05-10,112691.5643,123908.35332234844
2019-05-13,109741.5643,121858.10748868626
2019-05-14,108434.1405,121075.0482885179
2019-05-15,111236.1405,123796.782864691
2019-05-16,110576.1405,124357.16616484882
2019-05-17,105902.1405,121194.97573550153
2019-05-20,106345.1405,120166.34527466072
2019-05-21,107784.1405,121793.36075063578
2019-05-22,106836.1405,121215.52609041451
2019-05-23,104461.1405,119042.74208098877
2019-05-24,102690.1405,119373.21185007812
2019-05-27,106008.1405,120810.87973721068
2019-05-28,105699.1405,121975.5238530266
2019-05-29,105216.1405,121698.1256163115
2019-05-30,104759.1405,120943.28288050157
2019-05-31,105408.1405,120564.82685354451
2019-06-03,103358.1405,120638.67792694598
2019-06-04,102739.1405,119524.43150550447
2019-06-05,102937.1405,119479.20544562164
2019-06-06,100779.1405,118402.12371160882
2019-06-10,99929.1405,119932.21339047456
2019-06-11,103104.0776,123537.15817721456
2019-06-12,103042.1176,122601.14215730446
2019-06-13,103453.4376,122411.73478077998
2019-06-14,101060.6776,121398.22063886741
2019-06-17,100805.1576,121396.39047149113
2019-06-18,100121.6776,121821.33806426634
2019-06-19,101150.4776,123426.29188558938
2019-06-20,103537.2376,127165.68588295927
2019-06-21,105650.8776,127345.71323648807
2019-06-24,105479.5176,127589.10224676809
2019-06-25,105603.2376,126261.9452467067
2019-06-26,103651.7576,126030.14176057998
2019-06-27,105053.3976,127374.90623298558
2019-06-28,103286.2776,127068.3316074624
2019-07-01,107060.9976,130729.47349372921
2019-07-02,106294.8776,130774.56337055862
2019-07-03,104935.7576,129325.21031313614
2019-07-04,104190.7576,128646.54704878718
2019-07-05,104343.5776,129314.19609349959
2019-07-08,100597.3376,126311.100685911
2019-07-09,100848.4576,125990.24012593161
2019-07-10,100583.5176,125777.97060412413
2019-07-11,100548.3376,125727.5496589845
2019-07-12,100889.1776,126508.44653798778
2019-07-15,102846.8976,127021.84668472005
2019-07-16,103576.7776,126445.7956903446
2019-07-17,103786.9576,126372.50595684619
2019-07-18,102394.3176,125168.89688006631
2019-07-19,103598.7576,126482.67140397702
2019-07-22,100375.5576,125610.04029158335
2019-07-23,101329.9976,125883.41282437825
2019-07-24,101902.4776,126877.18374508464
2019-07-25,102588.8176,127914.63288901802
2019-07-26,102096.1776,128163.82462598835
2019-07-29,101330.2676,128021.05164141118
2019-07-30,101855.0776,128554.065469372
2019-07-31,100840.0376,127392.89900372481
2019-08-01,100804.7776,126333.67717893567
2019-08-02,99630.5676,124472.56967722907
2019-08-05,98067.4576,122089.38285028888
2019-08-06,95012.4098,120782.0421452672
2019-08-07,94028.2798,120287.20275225303
2019-08-08,94868.1298,121876.97714542798
2019-08-09,93953.5698,120689.06233516883
2019-08-12,96408.1798,122867.16412675322
2019-08-13,95912.5098,121759.32495189765
2019-08-14,96217.8998,122312.36101024724
2019-08-15,96496.0798,122697.62951141258
2019-08-16,95332.1998,123246.94544732761
2019-08-19,100167.2998,125922.64350837324
2019-08-20,101257.0698,125810.96676150338
2019-08-21,101765.1998,125612.52148038568
2019-08-22,101201.4598,126002.74239454199
2019-08-23,100726.0598,126911.4387653234
2019-08-26,99334.1598,125086.14408512507
2019-08-27,100873.7198,126781.30423241002
2019-08-28,100920.4498,126304.28156862699
2019-08-29,101172.0598,125892.4872658882
2019-08-30,99779.3898,126204.69854120725
2019-09-02,102166.6398,127823.40020784871
2019-09-03,102553.0098,127999.13613442621
2019-09-04,104549.2498,129075.00218557207
2019-09-05,106020.2898,130381.09067080994
2019-09-06,106274.6998,131151.17262244996
2019-09-09,109775.1698,131962.9863761146
2019-09-10,109661.4398,131508.48706075
2019-09-11,108762.8898,130539.75721418114
