date,strategy,benchmark
2011-06-01,1000000.0,1000871.8811176602
2011-06-02,987000.8872,984724.2563523719
2011-06-03,996496.8872,994933.6277584027
2011-06-07,1001873.8872,1000901.5324051926
2011-06-08,1004880.8872,1002364.1071497583
2011-06-09,995621.3272,983452.915754362
2011-06-10,997709.6072,986798.8469980235
2011-06-13,989454.2472,982939.5153713606
2011-06-14,996923.9472,997335.7152090447
2011-06-15,989872.3072,987194.3085519642
2011-06-16,972693.3272,972021.8446698976
2011-06-17,969291.6072,963552.5707333128
2011-06-20,960772.2672,957801.8867547363
2011-06-21,966560.8272,969188.314327635
2011-06-22,964776.4172,969024.7325054067
2011-06-23,975341.3472,985365.2572199217
2011-06-24,994774.7972,1008633.5220798808
2011-06-27,993931.3972,1011638.9632577231
2011-06-28,990434.2572,1013385.7239378506
2011-06-29,984532.1672,999537.906339245
2011-06-30,992176.0772,1014170.3169955845
2011-07-01,994757.2672,1016054.6729762825
2011-07-04,1009413.0805,1040120.5241548046
2011-07-05,1008232.9005,1040293.7676325208
2011-07-06,1003834.1805,1037365.9528591166
2011-07-07,1001145.8505,1033357.3653131905
2011-07-08,1004742.9405,1035857.068800315
2011-07-11,1004180.4605,1037197.3736288773
2011-07-12,992702.3405,1018440.1024002212
2011-07-13,1003658.1005,1034878.9094722864
2011-07-14,1006963.0905,1038043.2682248801
2011-07-15,1012536.8805,1042422.3302846918
2011-07-18,1008271.8805,1040327.0836859276
2011-07-19,1000571.5105,1031173.4980123637
2011-07-20,997789.8405,1029988.112832144
2011-07-21,992855.7005,1019184.3830333329
2011-07-22,993030.9605,1022131.5211177131
2011-07-25,968218.2705,988916.748513104
2011-07-26,971899.0805,992074.1108944821
2011-07-27,972904.0805,999498.9265567586
2011-07-28,964681.3305,993152.2183827314
2011-07-29,968116.3005,990179.4269372278
2011-08-01,965445.7805,992059.1186704488
2011-08-02,953651.1639,984950.1391944702
2011-08-03,952023.9839,984446.0673064229
2011-08-04,950950.2239,986258.1274512277
2011-08-05,927609.1439,965304.9951425185
2011-08-08,892257.0639,930816.2166556272
2011-08-09,888083.0839,932246.4748283882
2011-08-10,895171.5639,940885.3274768145
2011-08-11,904151.2439,955145.9309771323
2011-08-12,911366.8839,957958.1390452142
2011-08-15,920240.9039,972123.4586327882
2011-08-16,914466.5839,965359.6334701059
2011-08-17,912547.6639,961505.632411988
2011-08-18,899467.4839,944261.5763290763
2011-08-19,889737.6839,935402.8377281642
2011-08-22,885753.5439,925449.0004517647
2011-08-23,898752.2039,939846.8660921194
2011-08-24,893297.4839,936186.4313042959
2011-08-25,918031.9239,967443.8857712457
2011-08-26,914410.9639,966570.6720114491
2011-08-29,901294.6839,950443.370038739
2011-08-30,900274.4639,946755.6160871218
2011-08-31,901538.6439,948433.4125366966
2011-09-01,898749.3839,944355.1944391499
2011-09-02,890326.0207,934133.4960933586
2011-09-05,876463.1007,914131.5371094183
2011-09-06,869121.3207,907297.0819135132
2011-09-07,879005.8607,925883.1086276575
2011-09-08,877437.8807,918225.4137520663
2011-09-09,879320.6607,916556.2794763772
2011-09-13,872616.6807,906290.9371006227
2011-09-14,873243.5007,910563.7209500661
2011-09-15,874416.6607,909212.0886633453
2011-09-16,873821.3007,910856.5690595133
2011-09-19,862029.8607,892627.0241168236
2011-09-20,863984.4207,896150.1967646102
2011-09-21,878992.8007,923191.5046729085
2011-09-22,859274.7807,894765.2484244828
2011-09-23,853109.5007,889364.7161672136
2011-09-26,842816.1407,869855.1684526282
2011-09-27,847586.0007,878837.1764511463
2011-09-28,842620.4007,869745.5586369194
2011-09-29,835645.6207,862281.0968710886
2011-09-30,832570.1807,860004.2777812566
2011-10-10,830194.7807,851918.8047799199
2011-10-11,835692.0558,850223.6839825736
2011-10-12,853764.6958,881128.9877650116
2011-10-13,859052.8158,887073.5711744168
2011-10-14,855880.3958,884135.4284244565
2011-10-17,856450.8558,888522.8194976196
2011-10-18,845275.5958,863621.734860185
2011-10-19,844863.8158,860580.6455051972
2011-10-20,830484.0958,839741.7872596739
2011-10-21,827757.4358,835525.6407010223
2011-10-24,842581.8358,858444.4201607424
2011-10-25,853792.2958,874687.9951598431
2011-10-26,859592.8158,883425.796486888
2011-10-27,864738.5758,885366.7897583779
2011-10-28,872047.5958,902537.5505237941
2011-10-31,868756.6358,897969.919601699
2011-11-01,869141.3958,898711.8681110723
2011-11-02,878701.3822,913656.1170273009
2011-11-03,879666.3822,914292.7868079081
2011-11-04,886354.1422,920771.0933928927
2011-11-07,883418.4622,911609.8450270452
2011-11-08,885691.1222,908765.3203871584
2011-11-09,888887.6822,916742.5162149224
2011-11-10,877815.4422,899396.1798480514
2011-11-11,878433.7222,897868.305638808
2011-11-14,889960.1022,916256.4349957148
2011-11-15,889899.1822,914419.0546503206
2011-11-16,870361.0822,889577.2725879502
2011-11-17,870576.5022,886879.00542252
2011-11-18,858351.3622,868381.2662499042
2011-11-21,858991.4822,869444.7146746545
2011-11-22,857660.9622,869374.0846414317
2011-11-23,855550.2822,860890.484801882
2011-11-24,856123.9422,862524.3040609595
2011-11-25,851794.4822,856213.5772246119
2011-11-28,855252.9822,857328.998692677
2011-11-29,861598.3222,869072.2411975644
2011-11-30,842381.8622,840070.9498673344
2011-12-01,855208.0022,860757.8869093219
2011-12-02,846814.483,851995.0985422218
2011-12-05,843362.703,840025.9731952352
2011-12-06,839704.203,838345.5114613877
2011-12-07,841647.843,842305.7907298738
2011-12-08,840453.503,841230.681686431
2011-12-09,834654.983,834054.4037825704
2011-12-12,829291.263,825469.1899801292
2011-12-13,819302.843,806890.8259582686
2011-12-14,813782.563,798745.7172213335
2011-12-15,800546.503,779858.1802238561
2011-12-16,811535.883,796296.6541353873
2011-12-19,807271.703,794390.6427199747
2011-12-20,806056.323,791946.9102025736
2011-12-21,801847.843,779298.470526619
2011-12-22,798795.283,780040.4190359921
2011-12-23,802563.543,785978.6723952497
2011-12-26,799143.063,778163.7257475777
2011-12-27,790731.783,767946.6916492634
2011-12-28,792717.803,768910.5250743268
2011-12-29,793999.683,770054.2651877878
2011-12-30,801330.063,781508.6575096371
2012-01-04,793317.643,765853.7771742376
2012-01-05,797147.057,758401.6423481675
2012-01-06,803679.217,763137.8525005017
2012-01-09,818527.897,789114.0461813791
2012-01-10,832155.917,815360.0998948531
2012-01-11,825850.657,811448.4620643412
2012-01-12,827710.177,811318.862616588
2012-01-13,823578.817,797697.5941811498
2012-01-16,820475.277,781477.6735799683
2012-01-17,843737.477,819775.1432923443
2012-01-18,835030.337,806977.7808576603
2012-01-19,845570.917,822356.8042708501
2012-01-20,853467.277,834262.6291163635
2012-01-30,836871.677,819814.7893958986
2012-01-31,839139.937,820994.1776865054
2012-02-01,829545.297,809244.9382920048
2012-02-02,843888.7698,828316.3799042884
2012-02-03,847578.8898,834930.2828266394
2012-02-06,846467.1098,834341.2550024042
2012-02-07,833706.9298,818893.2673586621
2012-02-08,849951.5698,842308.456014146
2012-02-09,848395.0298,842639.9507455453
2012-02-10,845499.3698,844103.5249717133
2012-02-13,842877.3898,843556.1422142369
2012-02-14,838935.6898,840266.515100833
2012-02-15,841971.4498,849428.4297877488
2012-02-16,838991.1898,844919.7682801841
2012-02-17,840746.1298,845256.9267406624
2012-02-20,841911.6698,846462.9678739946
2012-02-21,844303.2898,853708.2100084076
2012-02-22,845710.6898,865376.4913931295
2012-02-23,848232.5498,868301.640882261
2012-02-24,856065.0298,882214.7579455443
2012-02-27,857780.9698,885065.2794750443
2012-02-28,865539.9498,887027.5950207147
2012-02-29,860731.8698,877592.4886958618
2012-03-01,860610.6098,877326.6265896742
2012-03-02,866775.5998,892848.2427114459
2012-03-05,858033.9398,887105.8877462212
2012-03-06,848633.1798,873231.0841443561
2012-03-07,843979.9598,867218.5359860009
2012-03-08,847642.9398,878141.537256009
2012-03-09,850938.7598,887640.2772428691
2012-03-12,846666.9598,884341.9879555795
2012-03-13,852367.1598,893227.7125597515
2012-03-14,839253.8998,867918.5062680815
2012-03-15,832489.5198,861401.8862216788
2012-03-16,838032.6598,874053.3243424401
2012-03-19,836126.4398,876216.5356901544
2012-03-20,828534.2798,861035.0764736682
2012-03-21,827523.7398,862150.4979417333
2012-03-22,828179.9398,860802.5304208874
2012-03-23,824514.6398,850538.8538478033
2012-03-26,825980.2198,851372.4215040457
2012-03-27,826493.8798,848607.5222318015
2012-03-28,811164.3598,824539.0057690069
2012-03-29,803608.0198,813951.8303173411
2012-03-30,810424.5798,817875.4619270795
2012-04-05,813068.2198,837176.4511473372
2012-04-06,812858.2648,839507.9085647567
2012-04-09,804896.2448,831284.1739417813
2012-04-10,810760.4648,839493.9158223257
2012-04-11,809325.6848,839576.539634775
2012-04-12,821694.4448,856367.830551886
2012-04-13,821500.5848,859705.4327821959
2012-04-16,819399.7048,857569.8737588093
2012-04-17,817032.8848,846855.0978225949
