date,strategy_nav,benchmark_nav
2011-06-01,1000000.0,1000000.0
2011-06-02,986912.2542259602,983866.4417794847
2011-06-03,996548.600814545,994066.919581529
2011-06-07,1001962.5136356939,1000029.6254576553
2011-06-08,1004982.998924569,1001490.9261217648
2011-06-09,995645.69519799,982596.208673735
2011-06-10,997772.9601820363,985939.2252044074
2011-06-13,989430.7446160759,982083.2555248983
2011-06-14,996944.0576598936,996466.9145219001
2011-06-15,989781.9594888054,986334.3422632453
2011-06-16,972447.5564841316,971175.0954422399
2011-06-17,968993.2237867411,962713.1992731445
2011-06-20,960365.1668505956,956967.5248396149
2011-06-21,966235.9775193182,968344.0334494718
2011-06-22,964440.1820071946,968180.5941269029
2011-06-23,975105.7126248697,984506.8842573315
2011-06-24,994707.3220565487,1007754.8796291025
2011-06-27,993887.7593062962,1010757.7027022078
2011-06-28,990343.2219270056,1012502.9417413712
2011-06-29,984382.435160967,998667.1872758328
2011-06-30,992100.5367213135,1013286.851323143
2011-07-01,994694.1023047342,1015169.565800638
2011-07-04,1010275.5320199343,1039214.4526962996
2011-07-05,1009143.4865549203,1039387.5452578798
2011-07-06,1004736.7729003258,1036462.2809671747
2011-07-07,1002230.3098583949,1032457.1853884581
2011-07-08,1005836.8324919367,1034954.7113298737
2011-07-11,1005354.0203369072,1036293.8485899449
2011-07-12,993734.9045567213,1017552.9172254729
2011-07-13,1004906.7669529603,1033977.4040975668
2011-07-14,1008335.714244158,1037139.006308891
2011-07-15,1014052.8930388226,1041514.2536731408
2011-07-18,1009805.479085698,1039420.8322889529
2011-07-19,1002054.5232226751,1030275.2205016157
2011-07-20,999123.5467712648,1029090.8679360345
2011-07-21,994151.710467181,1018296.5494996461
2011-07-22,994323.137171099,1021241.1202683735
2011-07-25,969329.4175319978,988055.2817697251
2011-07-26,973109.7391930714,991209.8937045237
2011-07-27,974184.3252761343,998628.2414494773
2011-07-28,965810.0687648964,992287.0620300496
2011-07-29,969117.1054756319,989316.8602473959
2011-08-01,966440.4506446566,991194.9145405409
2011-08-02,955015.5326821412,984092.1278501605
2011-08-03,953386.7273425913,983588.4950700243
2011-08-04,952306.1735425303,985398.976690091
2011-08-05,928854.6069717869,964464.0971075901
2011-08-08,893325.257945728,930005.3625407058
2011-08-09,889146.5286319739,931434.3747846746
2011-08-10,896264.2219534848,940065.7019419322
2011-08-11,905282.2156722714,954313.8827224664
2011-08-12,912524.9847925971,957123.6410153477
2011-08-15,921451.9333216592,971276.6208870128
2011-08-16,915654.384401984,964518.68783855
2011-08-17,913726.7373573857,960668.0440840125
2011-08-18,900587.052922265,943439.0096708811
2011-08-19,890806.2079715496,934587.9881085411
2011-08-22,886800.596741603,924642.8218348277
2011-08-23,899862.8188727952,939028.1451833834
2011-08-24,894378.2834821593,935370.8990793807
2011-08-25,919228.2779532957,966601.1245024838
2011-08-26,915596.4448314245,965728.6714180575
2011-08-29,902412.2431656589,949615.418286497
2011-08-30,901388.2509519225,945930.8768170142
2011-08-31,902662.7285768726,947607.211701856
2011-09-01,899860.9511083083,943532.5462281966
2011-09-02,891901.231406299,933319.7522246555
2011-09-05,877789.9579270411,913335.2173792921
2011-09-06,870267.206768277,906506.7158249542
2011-09-07,880366.1940449206,925076.5518497105
2011-09-08,878742.4708595197,917425.5277575561
2011-09-09,880608.0952870586,915757.847500793
2011-09-13,873678.7477666488,905501.4474865462
2011-09-14,874343.2512767066,909770.5092216728
2011-09-15,875509.6958486249,908420.0543710366
2011-09-16,874905.6101464621,910063.1022248054
2011-09-19,862960.5992027812,891849.4374325314
2011-09-20,864896.0233223824,895369.5409685129
2011-09-21,880127.0736966378,922387.2926093139
2011-09-22,860009.4602617162,893985.7990868037
2011-09-23,853666.0895287999,888589.9713498524
2011-09-26,843202.0040319974,869097.4188237495
2011-09-27,848086.3116400765,878071.6024010602
2011-09-28,843088.2439708147,868987.9044915191
2011-09-29,836074.7647008392,861529.9451795886
2011-09-30,833004.9476137465,859255.1094760522
2011-10-10,830606.4723506069,851176.679904919
